mhc_id;loc_key;trait;gfx_id;high_command
1;MXE_Adrian_Woll;17;GFX_idea_MXE_vic_adrian_woll;no
2;MXE_Jose_Mariano_de_Salas;7;GFX_idea_MXE_vic_jose_mariano_de_salas;no
3;MXE_Ramon_Mendez;53;GFX_idea_MXE_vic_ramon_mendez;no
4;MXE_Karl_Graf_Khevenhuller-Metsch;54;GFX_idea_MXE_vic_Karl_Graf_Khevenhuller_Metsch;no
5;MXE_Graf_von_Thun;4;GFX_idea_MXE_vic_graf_von_thun;no
6;MXE_Joseph_O_Shelby;42;GFX_idea_MXE_vic_Joseph_O_Shelby;no
7;MXE_Charles_Dupin;138;GFX_idea_MXE_vic_Charles_Dupin;no
8;MXE_Jean_Danjou;1;GFX_idea_MXE_vic_jean_danjou;no
9;MXE_Alfred_Baron_Van_der_Smissen;11;GFX_idea_MXE_vic_van_der_smissen;no
10;MXE_Constant_Tydgadt;35;GFX_idea_MXE_vic_constant_tydgadt;no
