mhc_id;loc_key;trait;gfx_id;high_command
1;PRS_Albrecht_von_Roon;5;GFX_idea_PRS_Albrecht_von_Roon;yes
2;PRS_karl_von_blumenthal;44;GFX_idea_PRS_Leonhard_Graf_von_Blumenthal;no
3;PRS_heros_von_borcke;41;GFX_idea_PRS_heros_von_borcke;no
4;PRS_karl_eberhard_herwarth_von_bittenfeld;1;GFX_idea_PRS_Karl_Eberhard_von_Bittenfeld;no
5;PRS_edwin_von_manteuffel;51;GFX_idea_PRS_edwin_von_manteuffel;yes
6;PRS_hans_alexis_von_biehler;26;GFX_idea_PRS_hans_alexis_von_biehler;no
7;PRS_karl_friedrich_von_steinmetz;24;GFX_idea_PRS_karl_friedrich_von_steinmetz;yes8;PRS_Helmuth_von_Moltke;6;GFX_idea_PRS_helmuth_von_moltke;yes
1;PRS_Eduard_von_Bonin;15;GFX_idea_PRS_Eduard_von_Bonin;yes
2;PRS_Edwin_von_Manteuffel;5;GFX_idea_PRS_Edwin_von_Manteuffel;yes
3;PRS_Friedrich_von_Wrangel;21;GFX_idea_PRS_Friedrich_von_Wrangel;yes
4;PRS_Georg_von_Kameke;28;GFX_idea_Georg_von_Kameke;no
5;PRS_Hermann_von_Tresckow;35;GFX_idea_PRS_Hermann_von_Tresckow;no
6;PRS_Leopold_von_Brese_Winiary;53;GFX_idea_PRS_Leopold_von_Brese_Winiary;no
7;PRS_Ernst_von_Pfuel;12;GFX_idea_PRS_Ernst_von_Pfuel;no
8;PRS_Eberhard_Herwarth_von_Bittenfeld;30;GFX_idea_PRS_Eberhard_Herwarth_von_Bittenfeld;no
9;PRS_Karl_Friedrich_von_Steinmetz;25;GFX_idea_PRS_Karl_Friedrich_von_Steinmetz;no
10;PRS_Leonhard_von_Blumenthal;37;GFX_idea_PRS_Leonhard_von_Blumenthal;no
11;PRS_Adolf_von_Bonin;1;GFX_idea_PRS_Adolf_von_Bonin;no
12;PRS_Albrecht_von_Roon;36;GFX_idea_PRS_Albrecht_von_Roon;yes
13;PRS_Helmuth_von_Moltke;13;GFX_idea_PRS_Helmuth_von_Moltke;yes
