# units = {

	#according to a German lexicon the Swedish Fleet consisted of 10 Lineships, 5 Frigates, 8 Briggs/Corvettes, 9 Steam Corvettes, 20 Schooners

 #fleet = {
		 	#name = "Skärgårdsflottan"
			#naval_base = 6050
			#task_force = {
			#name = "Skärgårdsflottan"
			#location = 6050
			#ship = { name = "HMS Carl XIV Johan" definition = lineship equipment = { equipment_1857_lineship = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Stockholm" definition = lineship equipment = { equipment_1857_lineship = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Dristigheten" definition = lineship equipment = { equipment_1812_lineship = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Josephine" definition = frigate equipment = { equipment_1855_frigate = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Norrköping" definition = frigate equipment = { equipment_1855_frigate = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Fredrika" definition = frigate equipment = { equipment_1855_frigate = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Göteborg" definition = frigate equipment = { equipment_1855_frigate = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Desiree" definition = frigate equipment = { equipment_1855_frigate = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Najaden" definition = corvette equipment = { equipment_1840_corvette = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Jarramas" definition = corvette equipment = { equipment_1840_corvette = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Orädd" definition = corvette equipment = { equipment_1840_corvette = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Thor" definition = corvette equipment = { equipment_1840_corvette = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Gefle" definition = corvette equipment = { equipment_1840_corvette = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS af Chapman" definition = corvette equipment = { equipment_1840_corvette = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Valkyrian" definition = corvette equipment = { equipment_1840_corvette = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Svensksund" definition = gunboat equipment = { equipment_1857_gunboat = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Hogland" definition = gunboat equipment = { equipment_1857_gunboat = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS von Sydow" definition = gunboat equipment = { equipment_1857_gunboat = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Hajen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Sälen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Valrossen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Bävern" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Illern" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Uttern" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Valen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Draken" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Gripen" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
			#ship = { name = "HMS Ulven" definition = sloop equipment = { equipment_1840_sloop = { amount = 1 owner = SWE } } }
